17 197
   4788  5   3431      
   8  10  15  16  17
   4215  3   1687      
   8  10  15
   5544  4   3661      
   8  10  16  17
    165  2    549      
   8  10
   5901  4   2183      
   9  11  12  16
   5760  4    821      
   9  11  13  17
   5046  3    793      
   9  11  14
   5988  3    807      
   9  11  15
   4956  4   3201      
   9  11  16  17
   1608  2   1275      
   9  11
   5214  2   1263      
   9  11
   3975  4   1421      
   9  13  14  17
   4884  4   1379      
   9  13  15  17
   3282  3   1409      
   9  13  17
   3333  3   1325      
   9  14  15
   3333  3    492      
   9  14  15
   2565  2   1299      
   9  14
   3519  2   1339      
   9  15
   5373  3   3697      
   9  16  17
   2913  1   1227      
   9
   5637  5   2583      
  11  12  13  16  17
   5250  3   1939      
  11  12  13
   5661  5   2317      
  11  12  14  15  16
   6456  4   3815      
  11  12  14  16
   5814  4   2437      
  11  12  15  16
   4212  3   2171      
  11  12  16
   5874  5   2889      
  11  13  14  15  17
   5697  4   1829      
  11  13  15  17
   4458  3   2803      
  11  13  17
   4707  5   3349      
  11  14  15  16  17
   4473  3   1579      
  11  14  15
   6201  4   3829      
  11  14  16  17
   4869  4   3461      
  11  15  16  17
   4296  2   1709      
  11  15
   3267  3   3189      
  11  16  17
    156  1    851      
  11
   3720  6   2349      
  12  13  14  15  16  17
   3360  4   1985      
  12  13  14  15
   6303  5   3885      
  12  13  14  16  17
   2988  5   2597      
  12  13  14  16  17
   2601  3   1949      
  12  13  14
   3870  5   2495      
  12  13  15  16  17
   3546  3   2025      
  12  13  15
   2724  4   2571      
  12  13  16  17
   2466  2   1931      
  12  13
   3174  4   2465      
  12  14  15  16
   2646  4   2287      
  12  14  15  16
   1818  3   2245      
  12  14  16
   5877  3   2093      
  12  14  16
   3375  3   2395      
  12  15  16
   4893  2   2083      
  12  16
   2664  2   2151      
  12  16
   2529  4   1603      
  13  14  15  17
   3048  4   1841      
  13  14  15  17
   2280  3   2827      
  13  14  17
   2685  3   1819      
  13  15  17
   2325  2   2787      
  13  17
   6291  4   3951      
  14  15  16  17
   5595  4   1657      
  14  15  16  17
   5787  4   3393      
  14  15  16  17
   2091  4   3305      
  14  15  16  17
   5913  4   3131      
  14  15  16  17
   1776  2   1533      
  14  15
   4767  3   3911      
  14  16  17
   1263  3   3263      
  14  16  17
    948  1   1503      
  14
   2820  3   3407      
  15  16  17
   5412  3   1879      
  15  16  17
   2451  1   1671      
  15
   4044  2   3179      
  16  17
   2109  2   3169      
  16  17
   4797  2   3735      
  16  17
